market;category_id;name;path;depth;source_url
CZ;5803;Péče o interiér auta;Heureka.cz | Auto-moto | Vše pro auta | Autokosmetika | Péče o interiér auta;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5801;Péče o kola;Heureka.cz | Auto-moto | Vše pro auta | Autokosmetika | Péče o kola;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5809;Leštící kotouče na auta;Heureka.cz | Auto-moto | Vše pro auta | Autokosmetika | Péče o lak | Leštící kotouče na auta;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5798;Leštění laku;Heureka.cz | Auto-moto | Vše pro auta | Autokosmetika | Péče o lak | Leštění laku;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5799;Ochrany laku;Heureka.cz | Auto-moto | Vše pro auta | Autokosmetika | Péče o lak | Ochrany laku;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5800;Údržba laku;Heureka.cz | Auto-moto | Vše pro auta | Autokosmetika | Péče o lak | Údržba laku;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5797;Čištění a dekontaminace laku;Heureka.cz | Auto-moto | Vše pro auta | Autokosmetika | Péče o lak | Čištění a dekontaminace laku;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5810;Péče o motorový prostor;Heureka.cz | Auto-moto | Vše pro auta | Autokosmetika | Péče o motorový prostor;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5806;Péče o ostatní povrchy auta;Heureka.cz | Auto-moto | Vše pro auta | Autokosmetika | Péče o ostatní povrchy auta;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5802;Péče o plasty a pneumatiky;Heureka.cz | Auto-moto | Vše pro auta | Autokosmetika | Péče o plasty a pneumatiky;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5796;Přípravky na mytí aut;Heureka.cz | Auto-moto | Vše pro auta | Autokosmetika | Přípravky na mytí aut;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5807;Příslušenství autokosmetiky;Heureka.cz | Auto-moto | Vše pro auta | Autokosmetika | Příslušenství autokosmetiky;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;6591;Tekuté stěrače;Heureka.cz | Auto-moto | Vše pro auta | Autokosmetika | Tekuté stěrače;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5808;Univerzální čističe aut;Heureka.cz | Auto-moto | Vše pro auta | Autokosmetika | Univerzální čističe aut;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5804;Vůně do auta;Heureka.cz | Auto-moto | Vše pro auta | Autokosmetika | Vůně do auta;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;1471;Alu kola;Heureka.cz | Auto-moto | Vše pro auta | Disky na auto | Alu kola;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;2260;Plechové disky;Heureka.cz | Auto-moto | Vše pro auta | Disky na auto | Plechové disky;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3147;Poklice na kola;Heureka.cz | Auto-moto | Vše pro auta | Disky na auto | Poklice na kola;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;2334;Antiradary;Heureka.cz | Auto-moto | Vše pro auta | Elektronika do auta | Antiradary;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3435;Auto antény;Heureka.cz | Auto-moto | Vše pro auta | Elektronika do auta | Auto Hi-Fi | Auto antény;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
